"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\constants\colors.dart", "Dart", 16, 0, 5, 21
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\constants\routes.dart", "Dart", 4, 0, 1, 5
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\controllers\controller.dart", "Dart", 14, 0, 5, 19
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\main.dart", "Dart", 33, 0, 3, 36
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\models\first-enter.dart", "Dart", 11, 0, 5, 16
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\models\set-system-overlay-style.dart", "Dart", 22, 0, 2, 24
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\models\tasks.dart", "Dart", 44, 0, 4, 48
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\models\types.dart", "Dart", 1, 0, 1, 2
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\models\user-name.dart", "Dart", 36, 1, 6, 43
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\animations.dart", "Dart", 52, 5, 4, 61
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\drawer.dart", "Dart", 10, 0, 2, 12
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\floating-button.dart", "Dart", 30, 0, 2, 32
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\navbar.dart", "Dart", 60, 0, 3, 63
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\tasks\item.dart", "Dart", 162, 0, 9, 171
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\tasks\items.dart", "Dart", 70, 0, 3, 73
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\tasks\tasks.dart", "Dart", 41, 0, 2, 43
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\components\title-text.dart", "Dart", 46, 0, 4, 50
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\controller.dart", "Dart", 5, 0, 2, 7
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\home.dart", "Dart", 47, 0, 3, 50
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\new-task\animations.dart", "Dart", 41, 0, 4, 45
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\new-task\components\button.dart", "Dart", 83, 0, 4, 87
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\new-task\components\close.dart", "Dart", 34, 0, 2, 36
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\new-task\components\setup.dart", "Dart", 143, 0, 2, 145
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\new-task\controller.dart", "Dart", 10, 0, 4, 14
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\home\new-task\new-task.dart", "Dart", 28, 0, 2, 30
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\loading\components\logo.dart", "Dart", 72, 0, 8, 80
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\loading\components\spinkit.dart", "Dart", 38, 0, 5, 43
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\loading\loading.dart", "Dart", 72, 0, 8, 80
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\welcome\components\button.dart", "Dart", 70, 0, 10, 80
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\welcome\components\name.dart", "Dart", 81, 5, 7, 93
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\welcome\components\text.dart", "Dart", 64, 0, 7, 71
"c:\Users\MasterMind\Erfan\FlutterProjects\todo\lib\screens\welcome\welcome.dart", "Dart", 32, 0, 2, 34
"Total", "-", 1472, 11, 131, 1614
